State,District,Population_Share_district,MPI_District,Headcount_Ratio,Intensity_of_Deprivation,Total_Population,,Number_of_MPI_PeopleDistrict_InThousand,Number_of_MPI_PeopleDistrict
Gujarat,Tapi,0.07%,0.164,42.7,38.4,867,"13,24,171",370,370000
Gujarat,The Dangs,0.02%,0.292,64.7,45.2,233,"13,24,171",151,151000
Gujarat,Vadodara,0.31%,0.101,23.2,43.7,"4,132","13,24,171",959,959000
Gujarat,Valsad,0.14%,0.103,23.3,44.1,"1,798","13,24,171",419,419000
Haryana,Ambala,0.09%,0.012,3.4,37,"1,219","13,24,171",41,41000
Haryana,Bhiwani,0.14%,0.047,12.4,38.2,"1,863","13,24,171",231,231000
Haryana,Faridabad,0.21%,0.042,10.2,41.6,"2,802","13,24,171",286,286000
Haryana,Fatehabad,0.08%,0.039,9.9,39.7,"1,083","13,24,171",107,107000
Haryana,Gurgaon,0.17%,0.032,8.1,39.9,"2,204","13,24,171",179,179000
Haryana,Hisar,0.15%,0.037,9.7,38.7,"1,997","13,24,171",193,193000
Haryana,Jhajjar,0.09%,0.016,4.2,38.4,"1,155","13,24,171",48,48000
Haryana,Jind,0.11%,0.033,8.5,38.6,"1,486","13,24,171",127,127000
Haryana,Kaithal,0.09%,0.036,9.2,38.6,"1,239","13,24,171",114,114000
Haryana,Karnal,0.15%,0.029,7.1,40.6,"1,941","13,24,171",139,139000
Haryana,Kurukshetra,0.08%,0.021,5.4,39.7,"1,041","13,24,171",56,56000
Haryana,Mahendragarh,0.08%,0.024,6.4,37.2,"1,048","13,24,171",67,67000
Haryana,Mewat,0.10%,0.291,58.1,50.1,"1,362","13,24,171",792,792000
Haryana,Palwal,0.09%,0.104,24.1,43.3,"1,215","13,24,171",293,293000
Haryana,Panchkula,0.05%,0.011,2.7,38.8,658,"13,24,171",18,18000
Haryana,Panipat,0.10%,0.028,6.6,41.9,"1,361","13,24,171",90,90000
Haryana,Rewari,0.09%,0.029,7.6,38.3,"1,193","13,24,171",91,91000
Haryana,Rohtak,0.09%,0.043,10.3,41.6,"1,232","13,24,171",127,127000
Haryana,Sirsa,0.12%,0.05,12.5,40.1,"1,529","13,24,171",191,191000
Haryana,Sonipat,0.13%,0.015,3.9,38.8,"1,682","13,24,171",65,65000
Haryana,Yamunanagar,0.11%,0.029,7.6,37.5,"1,393","13,24,171",106,106000
